timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1770538250052045200,-0.941699206829071,-6.93427848815918,1078.9580154418945,1038.4482264518738,1191.9236469268799,1265.5916333198547,115.0,67.0,1,1,0,0
1770538250090208800,-1.2748830318450928,-6.790150165557861,1009.3187713623047,1066.5079951286316,1191.6473579406738,1265.5916333198547,111.5,68.5,1,1,0,0
1770538250125609000,-0.6212382912635803,-7.138909816741943,1165.1225852966309,1117.7891492843628,1191.6473579406738,1244.4456338882446,111.5,63.5,1,1,0,0
1770538250159165600,0.4266059398651123,-8.758340835571289,1248.5809135437012,1337.557339668274,1191.9236469268799,1265.5916333198547,110.0,77.0,1,1,0,0
1770538250196467400,-0.22732101380825043,-6.362245082855225,1183.5217666625977,950.960898399353,1191.6473579406738,1244.4456338882446,109.0,70.0,1,1,0,0
1770538250234674400,0.34432852268218994,-9.215117454528809,1223.9583206176758,1358.3794355392456,1191.6473579406738,1244.4456338882446,127.0,76.5,1,1,0,0
1770538250270165800,-1.3365994691848755,-9.569664001464844,875.7283687591553,1274.3332743644714,1191.6473579406738,1265.5916333198547,123.0,77.5,1,1,0,0
1770538250309190900,-1.0850366353988647,-9.913453102111816,911.7990589141846,1342.7106142044067,1191.6473579406738,1265.5916333198547,115.0,74.5,1,1,0,0
1770538250344669600,-0.6829493045806885,-10.025443077087402,1031.6420459747314,1398.7433552742004,1191.6473579406738,1274.3332743644714,114.5,62.5,1,1,0,0
1770538250379096400,-0.5468539595603943,-9.56484317779541,1058.0341243743896,1379.3620347976685,1058.0341243743896,1274.3332743644714,116.0,68.5,1,1,0,0
1770538250416644500,-0.6185810565948486,-8.59873104095459,1047.3197078704834,1253.2586216926575,1058.0341243743896,1265.5916333198547,120.0,73.5,1,1,0,0
1770538250456831700,-0.6787596344947815,-8.556108474731445,1075.5955982208252,1318.404221534729,1075.5955982208252,1274.3332743644714,119.5,77.0,1,1,0,0
1770538250492102300,-0.741480827331543,-8.136606216430664,1039.6718502044678,1156.8118572235107,1058.0341243743896,1274.3332743644714,118.5,68.5,1,1,0,0
1770538250531492800,-1.4869439601898193,-8.284117698669434,865.499153137207,1136.350679397583,1058.0341243743896,1265.5916333198547,119.5,77.5,1,1,0,0
1770538250566207900,-0.7623313069343567,-8.604704856872559,1008.828763961792,1219.9461221694946,1058.0341243743896,1265.5916333198547,118.5,78.0,1,1,0,0
1770538250601549200,-0.36792823672294617,-7.687072277069092,1107.2022342681885,1126.3674974441528,1058.0341243743896,1219.9461221694946,122.5,78.5,1,1,0,0
